"Txhash","Blockno","UnixTimestamp","DateTime (UTC)","ParentTxFrom","ParentTxTo","ParentTxETH_Value","From","TxTo","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $2548.47212884465/Eth","Historical $Price/Eth","Status","ErrCode","Type","PrivateNote"
"0xa15f15f380f0ffc73f408b4f6dfcbf1a6da7f77b6fd2b0a8d01570546cc98f24","14515468","1649020301","2022-04-03 21:11:41","0x45ecd328179d61c4f74ce729c2399675e5bc85d0","0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45","0.045319990907372684","0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45","0x45ecd328179d61c4f74ce729c2399675e5bc85d0","","0.001319999735166194","0","3.36398253515336","3522.49","0","","call",""
"0xff45ef699056790d4d2148e236c36bad92e394ab23b52df97ebd90b8ca0c4eda","14522618","1649117381","2022-04-05 00:09:41","0x45ecd328179d61c4f74ce729c2399675e5bc85d0","0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45","0.042229954904475649","0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45","0x45ecd328179d61c4f74ce729c2399675e5bc85d0","","0.001229998686538125","0","3.13461737115794","3406.48","0","","call",""
"0xde2ea89b26af6b90e6e7caf6a64f3ecad84658f159a01811e5906226f8c10972","14537988","1649324495","2022-04-07 09:41:35","0x45ecd328179d61c4f74ce729c2399675e5bc85d0","0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45","0.064889833081431286","0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45","0x45ecd328179d61c4f74ce729c2399675e5bc85d0","","0.001889995138294115","0","4.81659993359444","3229.28","0","","call",""
"0xfcbe4ebbe352d7169fd92964369d14f0249b2d32bcdf77cc615131d386e552f6","14538532","1649331928","2022-04-07 11:45:28","0x45ecd328179d61c4f74ce729c2399675e5bc85d0","0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45","0.031929995695375672","0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45","0x45ecd328179d61c4f74ce729c2399675e5bc85d0","","0.000013772683289437","0","0.0350992995025346","3229.28","0","","call",""
"0xeafe79a9f866252530a5ce98cc2f876e6c5346efbf452321115eb7839f8635ca","14540944","1649363668","2022-04-07 20:34:28","0x45ecd328179d61c4f74ce729c2399675e5bc85d0","0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45","0.063860016199606879","0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45","0x45ecd328179d61c4f74ce729c2399675e5bc85d0","","0.00186000047183321","0","4.74015936210483","3229.28","0","","call",""
"0x3355b145269150743ae9571c6d1ffe3ecb875ed935a08c69a657ad71a6487271","14544788","1649416507","2022-04-08 11:15:07","0x45ecd328179d61c4f74ce729c2399675e5bc85d0","0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45","0","0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45","0x45ecd328179d61c4f74ce729c2399675e5bc85d0","","0.054893051787450397","0","139.893412547543","3192.92","0","","call",""
"0x9585e11ef840673ea70bea852f65a82b0bd7880a3df81b96bb57e40337c22177","14545768","1649429207","2022-04-08 14:46:47","0x45ecd328179d61c4f74ce729c2399675e5bc85d0","0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45","0.031930001091769198","0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45","0x45ecd328179d61c4f74ce729c2399675e5bc85d0","","0.000930000031799102","0","2.37007916086465","3192.92","0","","call",""
"0x10a94670cb3d7e85be95c40578d53bb03b1a7a2b63a3701160e35d9602f3cad0","14547461","1649452384","2022-04-08 21:13:04","0x45ecd328179d61c4f74ce729c2399675e5bc85d0","0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45","0.041199953950396888","0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45","0x45ecd328179d61c4f74ce729c2399675e5bc85d0","","0.001199998658749423","0","3.05816313647387","3192.92","0","","call",""
"0xd4b3e283575cfad25c910511a66f58313b17d09ebd54858f51da8974e65bb844","14553321","1649530974","2022-04-09 19:02:54","0x45ecd328179d61c4f74ce729c2399675e5bc85d0","0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45","0.063865877079545218","0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45","0x45ecd328179d61c4f74ce729c2399675e5bc85d0","","0.001860171177074132","0","4.74059439965357","3259.62","0","","call",""
"0xcf46d536860eb93a9ef15c58ed605406caefe9e2d413dd9476cc567daeb4398b","14557274","1649584534","2022-04-10 09:55:34","0x45ecd328179d61c4f74ce729c2399675e5bc85d0","0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45","0.067045637325081499","0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45","0x45ecd328179d61c4f74ce729c2399675e5bc85d0","","0.005034630216069474","0","12.8306147846922","3202.89","0","","call",""
"0x66c221d4810dc0fd739cc9f9eb5f5c34c2f07c0fe6975c1006aa4e93dcac0212","14570614","1649765560","2022-04-12 12:12:40","0x45ecd328179d61c4f74ce729c2399675e5bc85d0","0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45","0.173039822386982409","0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45","0x45ecd328179d61c4f74ce729c2399675e5bc85d0","","0.00584620608977573","0","14.8988932792753","3028.77","0","","call",""
"0xe53912a06853c9be2ac2f446717659d59ed2f0bb4ecb8e4763ddb2ec2781e5b8","14586702","1649981765","2022-04-15 00:16:05","0x45ecd328179d61c4f74ce729c2399675e5bc85d0","0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45","0","0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45","0x45ecd328179d61c4f74ce729c2399675e5bc85d0","","0.148023459049767126","0","377.233659803509","3041.21","0","","call",""
"0x25faced7d23fbbc76950d8ee93254e13fb45e707a9d13984af5b798186281250","14591447","1650045803","2022-04-15 18:03:23","0x45ecd328179d61c4f74ce729c2399675e5bc85d0","0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45","0.05149967688255761","0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45","0x45ecd328179d61c4f74ce729c2399675e5bc85d0","","0.001499990588812357","0","3.82268420911757","3041.21","0","","call",""
"0x754f21c861a23442c14bae3e62a23456d99b17ea3c5e0a7f0737a639fca27ddc","14592613","1650061567","2022-04-15 22:26:07","0x45ecd328179d61c4f74ce729c2399675e5bc85d0","0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45","0.038564642493539448","0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45","0x45ecd328179d61c4f74ce729c2399675e5bc85d0","","0.000621957973064941","0","1.58504255966871","3041.21","0","","call",""
"0x21c86ff88801e0deb2840ad03d148f62c7907379c62d84d2f25d701e395578cd","14592713","1650062689","2022-04-15 22:44:49","0x45ecd328179d61c4f74ce729c2399675e5bc85d0","0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45","0.041200035462467115","0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45","0x45ecd328179d61c4f74ce729c2399675e5bc85d0","","0.000512203023196032","0","1.30533512892506","3041.21","0","","call",""
"0x498db32872f9ba94af4f5d802729e2a6d3efbf494097c6c91a72abfb36974f35","14592791","1650063846","2022-04-15 23:04:06","0x45ecd328179d61c4f74ce729c2399675e5bc85d0","0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45","0.035020068884994831","0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45","0x45ecd328179d61c4f74ce729c2399675e5bc85d0","","0.001020002006359072","0","2.59944668457172","3041.21","0","","call",""
